,id,has_Human1
0,ENSG00000156515,True
1,ENSG00000159399,True
2,ENSG00000160883,True
3,ENSG00000106633,True
4,ENSG00000131482,True
5,ENSG00000105220,True
6,ENSG00000152556,True
7,ENSG00000130957,True
8,ENSG00000165140,True
9,ENSG00000149925,True
10,ENSG00000109107,True
11,ENSG00000111669,True
12,ENSG00000111640,True
13,ENSG00000102144,True
14,ENSG00000171314,True
15,ENSG00000164708,True
16,ENSG00000111674,True
17,ENSG00000074800,True
18,ENSG00000108515,True
19,ENSG00000067225,True
20,ENSG00000124253,True
21,ENSG00000111716,True
22,ENSG00000160211,True
23,ENSG00000130313,True
24,ENSG00000142657,True
25,ENSG00000153574,True
26,ENSG00000235376,True
27,ENSG00000163931,True
28,ENSG00000177156,True
29,ENSG00000131828,True
30,ENSG00000150768,True
31,ENSG00000091140,True
32,ENSG00000168291,True
33,ENSG00000062485,True
34,ENSG00000100412,True
35,ENSG00000166411,True
36,ENSG00000067829,True
37,ENSG00000101365,True
38,ENSG00000182054,True
39,ENSG00000105953,True
40,ENSG00000119689,True
41,ENSG00000163541,True
42,ENSG00000172340,True
43,ENSG00000136143,True
44,ENSG00000091483,True
45,ENSG00000146701,True
46,ENSG00000065518,True
47,ENSG00000198695,True
48,ENSG00000160194,True
49,ENSG00000115286,True
50,ENSG00000198886,True
51,ENSG00000174886,True
52,ENSG00000145494,True
53,ENSG00000131495,True
54,ENSG00000183648,True
55,ENSG00000186010,True
56,ENSG00000267855,True
57,ENSG00000109390,True
58,ENSG00000189043,True
59,ENSG00000136521,True
60,ENSG00000178127,True
61,ENSG00000166136,True
62,ENSG00000004779,True
63,ENSG00000130414,True
64,ENSG00000119013,True
65,ENSG00000151366,True
66,ENSG00000198888,True
67,ENSG00000168653,True
68,ENSG00000128609,True
69,ENSG00000158864,True
70,ENSG00000090266,True
71,ENSG00000198786,True
72,ENSG00000147123,True
73,ENSG00000165264,True
74,ENSG00000184752,True
75,ENSG00000140990,True
76,ENSG00000164258,True
77,ENSG00000198763,True
78,ENSG00000213619,True
79,ENSG00000184983,True
80,ENSG00000139180,True
81,ENSG00000212907,True
82,ENSG00000099795,True
83,ENSG00000110717,True
84,ENSG00000170906,True
85,ENSG00000167792,True
86,ENSG00000198840,True
87,ENSG00000119421,True
88,ENSG00000023228,True
89,ENSG00000147684,True
90,ENSG00000073578,True
91,ENSG00000117118,True
92,ENSG00000143252,True
93,ENSG00000198727,True
94,ENSG00000169021,True
95,ENSG00000173660,True
96,ENSG00000127540,True
97,ENSG00000179091,True
98,ENSG00000140740,True
99,ENSG00000156467,True
100,ENSG00000010256,True
101,ENSG00000184076,True
102,ENSG00000164919,True
103,ENSG00000131174,True
104,ENSG00000126267,True
105,ENSG00000127184,True
106,ENSG00000198938,True
107,ENSG00000111775,True
108,ENSG00000156885,True
109,ENSG00000135940,True
110,ENSG00000112695,True
111,ENSG00000160471,True
112,ENSG00000131055,True
113,ENSG00000178741,True
114,ENSG00000198804,True
115,ENSG00000161281,True
