,id,has_Human1
0,HEX1,True
1,PGI,True
2,PFK,True
3,FBP,True
4,FBA,True
5,TPI,True
6,GAPD,True
7,PGK,True
8,PGM,True
9,ENO,True
10,PYK,True
11,r0122,True
12,PEPCK,True
13,LDH_L,True
14,G6PDH2r,True
15,PGL,True
16,GND,True
17,RPI,True
18,RPE,True
19,TKT1,True
20,TALA,True
21,TKT2,True
22,CSm,True
23,ICDHxm,True
24,SUCOAS1m,True
25,SUCOASm,True
26,FUMm,True
27,MDHm,True
28,CIII_MitoCore,True
29,CIV_MitoCore,True
30,CV_MitoCore,True
31,PEPCKm,True
32,PCm,True
33,ME2m,True
34,ME1m,True
35,r0081,True
36,ACITLm_MitoCore,True
37,NDPK1m,True
38,NNT_MitoCore,True
39,ADK1m,True
40,ME2,True
41,ALATA_L,True
42,NDPK1,True
43,FUM,True
44,ADK1,True
45,ACONT,True
46,ACITL,True
47,ASPTA,True
48,MDH,True
49,AKGMALtm,True
50,ASPGLUmB_MitoCore,True
51,ASPTAm,True
52,G3PD1,True
53,FACOAL160i,True
54,C160CPT1,True
55,PPA,True
56,C160CPT2,True
57,PPAm,True
58,ACOT2_MitoCore,True
59,ACADLC16_MitoCore,True
60,ACADLC14_MitoCore,True
61,r1447,True
62,r0660,True
63,r0722,True
64,r0724,True
65,r1451,True
66,r0728,True
67,r0726,True
68,r0634,True
69,r1448,True
70,r0633,True
71,r0731,True
72,r0730,True
73,r0732,True
74,r1450,True
75,r0734,True
76,r0733,True
77,r0287,True
78,r1446,True
79,ECOAH1m,True
80,HACD1m,True
81,ACACT1rm,True
82,ACCOAC,True
83,MCOATA,True
84,ACOATA,True
85,r0678,True
86,r0691,True
87,r0681,True
88,r0682,True
89,r0760,True
90,r0761,True
91,r0762,True
92,r0763,True
93,r0764,True
94,r0694,True
95,r0695,True
96,r0765,True
97,r0766,True
98,r0692,True
99,r0693,True
100,r0767,True
101,r0768,True
102,r0769,True
103,r0770,True
104,r0712,True
105,r0713,True
106,r0701,True
107,r0702,True
108,r0771,True
109,r0772,True
110,r0696,True
111,r0697,True
112,r0773,True
113,FA160ACPH,True
114,FACOAL40im,True
115,BDHm,True
116,OCOAT1m,True
117,HMGCOASim,True
118,HMGLm,True
119,LEUTAm,True
120,OIVD1m,True
121,r0655,True
122,MCCCrm,True
123,MGCHrm,True
124,ILETAm,True
125,OIVD3m,True
126,r0603,True
127,ECOAH9m,True
128,HACD9m,True
129,ACACT10m,True
130,VALTAm,True
131,OIVD2m,True
132,ECOAH12m,True
133,HIBDm,True
134,ACCOALm,True
135,MMSAD1m,True
136,PPCOACm,True
137,MMEm,True
138,MMMm,True
139,MMCDm,True
140,THRD_L,True
141,r1155,True
142,2HBO,True
143,METAT,True
144,AHC,True
145,ADNK1,True
146,CYSTS,True
147,CYSTGL,True
148,CYSO,True
149,3SALATAi,True
150,3SPYRSP,True
151,CYSTA,True
152,CYSTAm,True
153,MCPST,True
154,MCPSTm_MitoCore,True
155,r0595m_MitoCore,True
156,r0595B_MitoCore,True
157,MCLOR,True
158,r0193,True
159,TRPO2,True
160,FKYNH,True
161,KYN3OX,True
162,HKYNH,True
163,3HAO,True
164,PCLAD,True
165,r0645,True
166,AMCOXO,True
167,2OXOADPTmB_MitoCore,True
168,2OXOADPTmC_MitoCore,True
169,2OXOADOXm,True
170,r0541,True
171,SACCD3m,True
172,r0525,True
173,AASAD3m,True
174,r0450,True
175,LYSOXc_MitoCore,True
176,PPD2CSPc_MitoCore,True
177,1PPDCRc_MitoCore,True
178,LPCOXc_MitoCore,True
179,RE1254C,True
180,r0594,True
181,2AMADPTmB_MitoCore,True
182,2AMADPTmC_MitoCore,True
183,PROD2mB_MitoCore,True
184,G5SADrm,True
185,r0074,True
186,GLU5Km,True
187,G5SDym,True
188,P5CRm,True
189,P5CRxm,True
190,ORNTArm,True
191,ORNDC,True
192,PTRCOX1,True
193,r0464c_MitoCore,True
194,ABUTD,True
195,ARGDCm,True
196,AGMTm,True
197,PTRCAT1m_MitoCore,True
198,APRTO2m_MitoCore,True
199,NABTNOm,True
200,GLUDC,True
201,4ABUTtm,True
202,ABTArm,True
203,r0178,True
204,GLUDxm,True
205,GLUDym,True
206,GLUDxi,True
207,GLUDy,True
208,GLNS,True
209,GLUNm,True
210,GLUN_MitoCore,True
211,PGCD,True
212,PSERT,True
213,PSP_L,True
214,GHMT2r,True
215,FOLR2,True
216,DHFR,True
217,MTHFD,True
218,MTHFC,True
219,FTCD,True
220,FTHFL,True
221,FTHFDH,True
222,r0060,True
223,GHMT2rm,True
224,GCCam,True
225,r0514,True
226,r0226,True
227,MTHFDm,True
228,MTHFD2m,True
229,MTHFCm,True
230,FTHFLm,True
231,FTHFDHm_MitoCore,True
232,GLYATm,True
233,AOBUTDsm,True
234,AACTOORm_MitoCore,True
235,LGTHLm_MitoCore,True
236,GLYOXm,True
237,LDH_Dm_MitoCore,True
238,CBPSam,True
239,OCBTm,True
240,NOS1,True
241,NOS2,True
242,r0129,True
243,AMPTASECG,True
244,GLUCYS,True
245,GTHS,True
246,DHPR,True
247,TYRTA,True
248,TYRTB_MitoCore,True
249,34HPPOR,True
250,HGNTOR,True
251,MACACI,True
252,FUMAC,True
253,ASNS1,True
254,r0127,True
255,HISD,True
256,URCN,True
257,IZPN,True
258,GluForTx,True
259,APAT2rm,True
260,MMSAD3m,True
261,ASP1DC,True
262,CKc,True
263,CK,True
264,ACOAHi,True
265,ALCD2yf,True
266,ALCD2if,True
267,ACALDtm,True
268,ALDD2xm,True
269,ALDD2x,True
270,ACSm,True
271,ACS,True
272,ADSL1,True
273,ADSS,True
