kegg.module,module_name
M00357,"Methanogenesis, acetate => methane"
M00357,"Methanogenesis, acetate => methane"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00346,"Formaldehyde assimilation, serine pathway"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc"
M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
M00169,"CAM (Crassulacean acid metabolism), light"
M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type"
M00169,"CAM (Crassulacean acid metabolism), light"
M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00173,Reductive citrate cycle (Arnon-Buchanan cycle)
M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
M00991,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acetyl-CoA"
M00992,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA"
M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
M00982,Methylcitrate cycle
M00087,beta-Oxidation
M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
M00095,"C5 isoprenoid biosynthesis, mevalonate pathway"
M00373,Ethylmalonyl pathway
M00374,Dicarboxylate-hydroxybutyrate cycle
M00375,Hydroxypropionate-hydroxybutylate cycle
M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea"
M00957,"Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA"
M00087,beta-Oxidation
M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
M00373,Ethylmalonyl pathway
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00580,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
