,model_id,kegg.reaction
0,MAR03905,R00754
1,MAR03907,R00746
2,MAR04097,R00235
3,MAR04099,R00235
4,MAR04108,R00236
5,MAR04133,R00316
6,MAR04388,R00703
7,MAR04283,R00711
8,MAR08357,R00710
9,MAR04379,R00756
10,MAR04301,R00769
11,MAR04355,R01829
12,MAR04358,R00200
13,MAR04360,R00205
14,MAR04363,R00658
15,MAR04365,R01518
16,MAR04368,R01512
17,MAR04370,R01515
18,MAR04371,R01662
19,MAR04372,R01516
20,MAR04373,R01061
21,MAR04375,R01068
22,MAR04377,R00762
23,MAR04381,R00771
24,MAR04391,R01015
25,MAR04394,R00299
26,MAR04396,R08639
27,MAR06412,R02569
28,MAR07745,R01602
29,MAR07747,R09086
30,MAR03989,R00028
31,MAR04122,R00286
32,MAR04837,R00010
33,MAR05395,R03681
34,MAR08587,R00028
35,MAR08583,R01790
36,MAR08585,R01660
37,MAR03944,R00289
38,MAR04128,R00291
39,MAR04131,R00955
40,MAR04132,R00955
41,MAR04303,R00801
42,MAR04414,R01092
43,MAR04415,R01100
44,MAR04416,R01104
45,MAR04831,R01680
46,MAR04832,R04783
47,MAR08761,R02927
48,MAR08766,R01095
49,MAR08767,R00502
50,MAR00454,R01059
51,MAR04297,R00757
52,MAR04310,R00866
53,MAR04315,R00875
54,MAR04316,R01787
55,MAR04319,R00760
56,MAR04356,R02568
57,MAR04383,R00772
58,MAR04385,R01818
59,MAR04386,R00883
60,MAR04387,R00885
61,MAR04399,R00888
62,MAR04400,R05692
63,MAR04401,R01951
64,MAR04402,R03161
65,MAR04403,R03163
66,MAR04490,R01326
67,MAR04706,R00763
68,MAR08768,R05692
69,MAR04590,R01904
70,MAR04591,R05831
71,MAR04592,R01431
72,MAR04593,R01896
73,MAR04594,R01430
74,MAR04595,R01639
75,MAR08341,R01759
76,MAR08342,R01903
77,MAR08352,R02640
78,MAR08353,R01905
79,MAR08726,R01526
80,MAR08729,R08615
81,MAR06537,R01481
82,MAR01568,R00710
83,MAR03853,R02530
84,MAR03854,R02531
85,MAR03855,R02577
86,MAR03857,R01736
87,MAR03859,R00197
88,MAR04087,R00214
89,MAR04089,R00216
90,MAR04091,R00216
91,MAR04093,R00227
92,MAR04095,R00227
93,MAR04101,R00431
94,MAR04103,R00431
95,MAR04143,R00344
96,MAR04193,R00572
97,MAR08497,R02528
98,MAR08502,R03082
99,MAR08504,R01735
100,MAR08511,R01736
101,MAR08512,R00704
102,MAR08514,R00196
103,MAR08516,R01016
104,MAR08517,R01016
105,MAR04280,R00703
106,MAR00153,R00925
107,MAR03212,R00924
108,MAR03797,R00925
109,MAR03800,R10996
110,MAR04105,R00233
111,MAR04106,R00233
112,MAR04282,R00705
113,MAR04331,R00926
114,MAR04459,R01354
115,MAR04460,R01354
116,MAR04464,R01366
117,MAR04497,R01608
118,MAR04741,R03158
119,MAR08078,R00931
120,MAR09803,R00744
121,MAR09804,R04919
122,MAR00718,R03534
123,MAR00719,R08198
124,MAR01434,R00238
125,MAR01436,R01357
126,MAR03163,R01175
127,MAR04461,R01361
128,MAR05351,R01000
129,MAR07709,R03027
130,MAR04052,R01049
131,MAR04350,R01051
132,MAR04352,R01056
133,MAR04354,R01057
134,MAR04398,R01066
135,MAR04404,R01067
136,MAR04474,R01528
137,MAR04476,R01737
138,MAR04477,R01529
139,MAR04501,R01641
140,MAR04565,R08575
141,MAR04567,R01843
142,MAR09799,R01844
143,MAR09800,R03819
144,MAR04625,R02035
145,MAR04710,R02749
146,MAR08074,R02750
147,MAR03998,R00122
148,MAR04000,R00089
149,MAR04002,R00127
150,MAR04004,R00127
151,MAR04010,R00183
152,MAR04081,R00183
153,MAR04082,R00183
154,MAR04012,R00185
155,MAR04014,R00191
156,MAR04020,R00332
157,MAR04022,R00434
158,MAR04038,R01127
159,MAR04040,R01130
160,MAR04042,R01135
161,MAR04046,R01231
162,MAR04048,R01234
163,MAR04080,R00181
164,MAR04085,R00190
165,MAR04086,R00190
166,MAR04134,R00328
167,MAR04135,R00332
168,MAR04168,R00426
169,MAR04171,R00430
170,MAR04290,R00719
171,MAR04406,R01072
172,MAR04412,R01083
173,MAR04417,R01126
174,MAR04418,R01132
175,MAR04419,R01134
176,MAR04421,R01138
177,MAR04449,R01227
178,MAR04450,R01227
179,MAR04451,R01228
180,MAR04452,R01229
181,MAR04453,R01230
182,MAR04480,R01547
183,MAR04481,R01560
184,MAR04482,R01560
185,MAR04486,R00725
186,MAR04487,R01139
187,MAR04488,R00876
188,MAR04489,R01140
189,MAR04492,R01327
190,MAR04493,R01330
191,MAR04495,R01964
192,MAR04496,R01965
193,MAR04518,R01676
194,MAR04519,R01768
195,MAR04520,R01769
196,MAR04573,R01858
197,MAR04574,R01863
198,MAR04600,R01967
199,MAR04602,R01968
200,MAR04603,R01969
201,MAR04611,R02014
202,MAR04612,R02017
203,MAR04614,R02020
204,MAR04615,R02019
205,MAR04617,R02022
206,MAR04618,R02023
207,MAR04619,R02024
208,MAR04621,R02018
209,MAR04632,R02088
210,MAR04646,R02103
211,MAR04649,R02107
212,MAR04651,R02147
213,MAR04663,R02297
214,MAR04664,R02142
215,MAR04694,R02556
216,MAR04695,R02557
217,MAR04705,R02719
218,MAR04709,R02748
219,MAR04799,R04144
220,MAR04802,R04208
221,MAR04804,R04209
222,MAR04808,R04463
223,MAR04810,R04591
224,MAR04812,R04559
225,MAR04814,R04560
226,MAR05301,R00968
227,MAR05353,R02090
228,MAR06601,R02422
229,MAR06609,R02425
230,MAR06611,R02106
231,MAR07144,R01054
232,MAR09797,R01244
233,MAR04016,R00330
234,MAR04018,R00330
235,MAR04044,R01137
236,MAR04291,R00722
237,MAR04420,R01137
238,MAR04570,R01857
239,MAR04572,R01857
240,MAR04006,R00156
241,MAR04028,R00570
242,MAR04030,R00570
243,MAR04670,R02326
244,MAR04673,R02331
245,MAR04675,R02331
246,MAR04635,R02093
247,MAR03793,R02050
248,MAR03931,R02016
249,MAR03969,R00970
250,MAR03970,R00963
251,MAR04008,R00158
252,MAR04032,R00571
253,MAR04034,R00575
254,MAR04036,R00965
255,MAR04050,R01397
256,MAR04056,R01569
257,MAR04060,R00155
258,MAR04127,R00287
259,MAR04177,R00511
260,MAR04179,R00511
261,MAR04182,R00517
262,MAR04183,R00514
263,MAR04192,R00569
264,MAR04194,R00573
265,MAR04210,R00659
266,MAR04211,R00662
267,MAR04343,R00966
268,MAR04345,R00978
269,MAR04346,R02269
270,MAR04470,R01414
271,MAR04471,R01414
272,MAR04472,R01415
273,MAR04484,R01569
274,MAR04485,R01570
275,MAR04510,R01664
276,MAR04512,R01665
277,MAR04513,R01666
278,MAR04514,R02485
279,MAR04577,R01870
280,MAR04579,R01876
281,MAR04580,R01878
282,MAR04608,R01993
283,MAR04575,R01869
284,MAR04637,R02094
285,MAR04642,R02102
286,MAR04643,R02100
287,MAR04644,R02101
288,MAR04672,R02325
289,MAR04676,R02372
290,MAR04736,R03055
291,MAR04819,R04666
292,MAR05299,R00964
293,MAR05352,R02332
294,MAR05415,R02017
295,MAR05416,R02019
296,MAR05417,R02016
297,MAR06621,R02023
298,MAR07744,R01055
299,MAR08637,R00974
300,MAR03966,R00087
301,MAR03968,R02098
302,MAR03999,R00122
303,MAR04024,R00512
304,MAR04026,R00512
305,MAR04054,R01567
306,MAR04061,R00159
307,MAR04083,R00185
308,MAR04136,R00335
309,MAR04180,R00513
310,MAR04185,R00529
311,MAR04186,R00509
312,MAR04342,R00961
313,MAR04344,R00977
314,MAR04483,R01567
315,MAR04507,R01663
