,model_id,kegg.reaction
0,HEX1,R01786
1,G6PPer,R01788
2,PGI,R02740
3,PFK,R04779
4,FBP,R04780
5,FBA,R01070
6,TPI,R01015
7,GAPD,R01061
8,PGK,R01512
9,PGM,R01518
10,ENO,R00658
11,PYK,R00200
12,r0122,R00430
13,PEPCK,R00431
14,LDH_L,R00703
15,G6PDH2r,R02736
16,PGL,R02035
17,GND,R01528
18,RPI,R01056
19,RPE,R01529
20,TKT1,R01641
21,TALA,R01827
22,TKT2,R01830
23,PDHm,R00209
24,PDHm,R01699
25,PDHm,R02569
26,PDHm,R07618
27,CSm,R00351
28,ACONTm,R01324
29,ACONTm,R01325
30,ACONTm,R01900
31,ICDHxm,R00709
32,ICDHyrm,R00267
33,ICDHyrm,R00268
34,ICDHyrm,R01899
35,AKGDm,R08549
36,AKGDm,R00621
37,AKGDm,R02570
38,AKGDm,R03316
39,AKGDm,R07618
40,SUCOAS1m,R00432
41,SUCOASm,R00405
42,FUMm,R01082
43,MDHm,R00342
44,CI_MitoCore,R02163
45,CI_MitoCore,R00281
46,CI_MitoCore,R02166
47,CII_MitoCore,R02164
48,CIII_MitoCore,R02161
49,CIV_MitoCore,R00081
50,CV_MitoCore,R00086
51,PEPCKm,R00431
52,PCm,R00344
53,ME2m,R00216
54,ME1m,R00214
55,r0081,R00258
56,ACITLm_MitoCore,R00352
57,NDPK1m,R00330
58,NNT_MitoCore,R00112
59,ADK1m,R00127
60,ME2,R00216
61,ALATA_L,R00258
62,NDPK1,R00330
63,FUM,R01082
64,ADK1,R00127
65,ICDHy,R00267
66,ICDHy,R00268
67,ICDHy,R01899
68,ACONT,R01324
69,ACONT,R01325
70,ACONT,R01900
71,ACITL,R00352
72,ASPTA,R00355
73,MDH,R00342
74,ASPTAm,R00355
75,G3PD1,R00842
76,r0205,R08657
77,FACOAL160i,R01280
78,C160CPT1,R01923
79,PPA,R00004
80,C160CPT2,R01923
81,PPAm,R00004
82,ACOT2_MitoCore,R01274
83,ACADLC16_MitoCore,R01279
84,MECR16C_MitoCore,R01278
85,MTPC16_MitoCore,R04738
86,MTPC16_MitoCore,R04737
87,MTPC16_MitoCore,R03991
88,ACADLC14_MitoCore,R03990
89,MECR14C_MitoCore,R03989
90,MTPC14_MitoCore,R04740
91,MTPC14_MitoCore,R04739
92,MTPC14_MitoCore,R03858
93,r1447,R03857
94,r0638,R03856
95,r0660,R04170
96,r0722,R04741
97,r0724,R04742
98,r1451,R04754
99,r0735,R04753
100,r0728,R04744
101,r0726,R04743
102,r0634,R03778
103,r1448,R03777
104,r0633,R03776
105,r0731,R04746
106,r0730,R04745
107,r0732,R04747
108,r1450,R04751
109,r0791,R06985
110,r0734,R04749
111,r0733,R04748
112,r0287,R01177
113,r1446,R01175
114,ECOAH1m,R03026
115,HACD1m,R01975
116,ACACT1rm,R00238
117,ACCOAC,R00742
118,MCOATA,R01626
119,ACOATA,R01624
120,r0678,R04355
121,r0691,R04533
122,r0681,R04428
123,r0682,R04430
124,r0760,R04952
125,r0761,R04953
126,r0762,R04954
127,r0763,R04956
128,r0764,R04957
129,r0694,R04536
130,r0695,R04537
131,r0765,R04959
132,r0766,R04960
133,r0692,R04534
134,r0693,R04535
135,r0767,R04962
136,r0768,R04963
137,r0769,R04964
138,r0770,R04965
139,r0712,R04725
140,r0713,R04726
141,r0701,R04566
142,r0702,R04568
143,r0771,R04967
144,r0772,R04968
145,r0696,R04543
146,r0697,R04544
147,r0773,R04970
148,FA160ACPH,R01706
149,FACOAL40im,R01176
150,BDHm,R01361
151,OCOAT1m,R00410
152,HMGCOASim,R01978
153,HMGLm,R01360
154,LEUTAm,R01090
155,OIVD1m,R07601
156,OIVD1m,R04097
157,OIVD1m,R07618
158,r0655,R04095
159,MCCCrm,R04138
160,MGCHrm,R02085
161,ILETAm,R02199
162,OIVD3m,R07603
163,OIVD3m,R07604
164,OIVD3m,R03174
165,OIVD3m,R07618
166,r0603,R03172
167,ECOAH9m,R04204
168,HACD9m,R04203
169,ACACT10m,R00927
170,VALTAm,R01214
171,OIVD2m,R07599
172,OIVD2m,R07600
173,OIVD2m,R02662
174,OIVD2m,R07618
175,r0560,R02661
176,ECOAH12m,R04224
177,3HBCOAHLm,R05064
178,HIBDm,R05066
179,ACCOALm,R00925
180,MMSAD1m,R00935
181,PPCOACm,R01859
182,MMEm,R02765
183,MMMm,R00833
184,MMCDm,R00923
185,THRD_L,R00996
186,r1154,R10996
187,r1154,R10997
188,r1154,R10997
189,r1154,R07618
190,2HBO,R01000
191,METAT,R00177
192,AHC,R00192
193,ADNK1,R00185
194,CYSTS,R01290
195,CYSTGL,R01001
196,CYSO,R00893
197,3SALATAi,R02619
198,3SPYRSP,R04861
199,CYSTA,R00895
200,CYSTAm,R00895
201,MCPST,R03106
202,MCPSTm_MitoCore,R03106
203,r0595m_MitoCore,R03105
204,r0595B_MitoCore,R03105
205,MCLOR,R03104
206,r0193,R00782
207,TRPO2,R00678
208,FKYNH,R01959
209,KYN3OX,R01960
210,HKYNH,R02668
211,3HAO,R02665
212,PCLAD,R04323
213,r0645,R03889
214,AMCOXO,R01938
215,AMCOXO2_MitoCore,R01937
216,2OXOADOXm,R01933
217,r0541,R02487
218,SACCD3m,R00716
219,r0525,R02313
220,AASAD3m,R03102
221,R03103_MitoCore,R03103
222,r0450,R01939
223,LYSOXc_MitoCore,R00447
224,PPD2CSPc_MitoCore,R04175
225,1PPDCRc_MitoCore,R02201
226,1PPDCRc_NADPH_MitoCore,R02203
227,LPCOXc_MitoCore,R02204
228,RE1254C,R02317
229,r0594,R03102
230,PROD2mB_MitoCore,R01253
231,G5SADrm,R03314
232,r0074,R00245
233,GLU5Km,R00239
234,G5SDym,R03313
235,P5CRm,R01251
236,P5CRxm,R01248
237,ORNTArm,R00667
238,ORNDC,R00670
239,PTRCOX1,R01151
240,r0464c_MitoCore,R01986
241,ABUTD,R02549
242,ARGDCm,R00566
243,AGMTm,R01157
244,PTRCAT1m_MitoCore,R01154
245,APRTO2m_MitoCore,R04025
246,NABTNOm,R05050
247,4aabutn_MitoCore,R01987
248,GLUDC,R00261
249,ABTArm,R01648
250,r0178,R00713
251,GLUDxm,R00243
252,GLUDym,R00248
253,GLUDxi,R00243
254,GLUDy,R00248
255,GLNS,R00253
256,GLUNm,R00256
257,GLUN_MitoCore,R00256
258,PGCD,R01513
259,PSERT,R04173
260,PSP_L,R00582
261,GHMT2r,R00945
262,FOLR2,R02236
263,DHFR,R00939
264,MTHFD,R01220
265,MTHFC,R01655
266,FTCD,R02302
267,FTHFL,R00943
268,FTHFDH,R00941
269,r0060,R00220
270,GHMT2rm,R00945
271,GCCam,R03425
272,GCCbim,R04125
273,GCCcm,R03815
274,r0514,R02236
275,r0226,R00939
276,MTHFDm,R01220
277,MTHFD2m,R01218
278,MTHFCm,R01655
279,FTHFLm,R00943
280,FTHFDHm_MitoCore,R00941
281,GLYATm,R00371
282,AOBUTDsm,R03758
283,AACTOORm_MitoCore,R02529
284,LGTHLm_MitoCore,R02530
285,GLYOXm,R01736
286,LDH_Dm_MitoCore,R00704
287,CBPSam,R00149
288,OCBTm,R01398
289,NOS1,R00558
290,NOS2,R00111
291,r0129,R00494
292,AMPTASECG,R00899
293,GLUCYS,R00894
294,GTHS,R00497
295,r0399,R01795
296,DHPR,R01793
297,TYRTA,R00734
298,TYRTB_MitoCore,R00729
299,34HPPOR,R02521
300,HGNTOR,R02519
301,MACACI,R03181
302,FUMAC,R01364
303,ASNS1,R00578
304,r0127,R00485
305,HISD,R01168
306,URCN,R02914
307,IZPN,R02288
308,GluForTx,R02287
309,APAT2rm,R00908
310,MMSAD3m,R00705
311,MMSAD3m2_MitoCore,R00706
312,ASP1DC,R00489
313,CKc,R01881
314,CK,R01881
315,ACOAHi,R00227
316,ALCD2yf,R00746
317,ALCD2if,R00754
318,ALDD2xm,R00710
319,ALDD2x,R00710
320,ACSm,R00235
321,ACSm,R00316
322,ACSm,R00236
323,ACS,R00235
324,ACS,R00316
325,ACS,R00236
326,ADSL1,R01083
327,ADSS,R01135
328,AMPD1,R00181
329,ARGN,R00551
330,ARGSL,R01086
331,ARGSS,R01954
332,ARGNm,R00551
333,ALASm,R00830
334,PPBNGS,R00036
335,HMBS,R00084
336,UPP3S,R03165
337,UPPDC1,R03197
338,CPPPGO,R03220
339,PPPGOmB_MitoCore,R03222
340,FCLTm,R00310
341,HOXG,R00311
342,BILIRED,R02393
343,BILIRED2_MitoCore,R02391
344,PCHOLPm_hs,R01310
345,GLYK,R00847
346,GPAMm_hsB_MitoCore,R00851
347,AGPAT1B_MitoCore,R02241
348,CDSm,R01799
349,PGPPTm,R01801
350,PGPP_hsm_MitoCore,R02029
351,CLS_hsm_MitoCore,R02030
352,CLPN_MitoCore,R07390
353,CYTK1m,R00512
354,NDPK3m,R00570
355,SPODMm,R00275
356,GTHP,R00274
357,GTHPm,R00274
358,GTHO,R00115
359,GTHOm,R00115
