module_id,reactions
M00001,"R01786,R02189,R09085  C00267 -> C00668 R13199  C00668 -> C00085 R00756,R05805  C00085 -> C00354 R01068  C00354 -> C00111 + C00118 R01015  C00111 -> C00118 R01061,R01063  C00118 -> C00236 R01512  C00236 -> C00197 R07159  C00118 -> C00197 R01518  C00197 -> C00631 R00658  C00631 -> C00074 R00200  C00074 -> C00022"
M00549,"R01786,R02189 C00267 -> C00668 R00959 C00668 -> C00103 R00289 C00103 -> C00029"
M00002,"R01015  C00111 -> C00118 R01061,R01063  C00118 -> C00236 R01512  C00236 -> C00197 R07159  C00118 -> C00197 R01518  C00197 -> C00631 R00658  C00631 -> C00074 R00200  C00074 -> C00022"
M00003,"R00431,R00726,R00341  C00036 -> C00074 R00658  C00074 -> C00631 R01518  C00631 -> C00197 R01512  C00197 -> C00236 R01061,R01063  C00236 -> C00118 R01015  C00118 -> C00111 R01068  C00111 + C00118 -> C00354 R00762  C00354 -> C00085"
M00165,"R01523  C00199 -> C01182 R00024  C01182 + C00011 -> C00197 R01512  C00197 -> C00236 R01061,R01063  C00236 -> C00118 R01015  C00118 -> C00111 R01068  C00118 + C00111 -> C00354 R00762  C00354 -> C00085 R01067  C00085 + C00118 -> C00279 + C00231 R01829  C00279 + C00111 -> C00447 R01845  C00447 -> C05382 R01641  C05382 + C00118 -> C00117 + C00231 R01056  C00117 -> C00199 R01529  C00231 -> C00199"
M00308,"R01538  C00257 -> C00204 R01541  C00204 -> C04442 R05605  C04442 -> C00118 + C00022 R01061  C00118 -> C00236 R01512  C00236 -> C00197 R01058,R10860  C00118 -> C00197"
M00552,R03033  C00880 -> C01216 R03387  C01216 -> C01286 R01064  C01286 -> C00118 R01061  C00118 -> C00236 R01512  C00236 -> C00197
M00346,R00945  C00037 -> C00065 R00588  C00065 -> C00168 R01388  C00168 -> C00258 R08572  C00258 -> C00631 R00658  C00631 -> C00074 R00345  C00074 -> C00036 R00342  C00036 -> C00149 R01256  C00149 -> C04348 R00473  C04348 -> C00048 R00588  C00048 -> C00037
M00004,"R02736,R10907  C01172 -> C01236 R02035  C01236 -> C00345 R01528,R10221  C00345 -> C00199 R01529  C00199 -> C00231 R01056  C00199 -> C00117 R01641  C00117 + C00231 -> C05382 + C00118 R08575  C05382 + C00118 -> C00279 + C00085 R01067  C00279 + C00231 -> C00085 + C00118 R13199  C00085 -> C00668 R02739  C00668 -> C01172"
M00006,"R02736,R10907  C01172 -> C01236 R02035  C01236 -> C00345 R01528,R10221  C00345 -> C00199"
M00008,R02736  C01172 -> C01236 R02035  C01236 -> C00345 R02036  C00345 -> C04442 R05605  C04442 -> C00118 + C00022
M00007,R01067  C00085 + C00118 -> C00279 + C00231 R08575  C00279 + C00085 -> C05382 + C00118 R01641  C05382 + C00118 -> C00117 + C00231 R01529  C00231 -> C00199 R01056  C00199 -> C00117
M00580,R05339  C00085 -> C06019 R05338  C06019 -> C00199 R01056  C00199 -> C00117
M00307,"R00209,R01196  C00022 -> C00024  R00014  C00022 + C00068 -> C05125 R03270  C05125 + C15972 -> C16255 + C00068 R02569  C16255 -> C00024 + C15973 R07618  C15973 -> C15972"
M00009,"R00351  C00024 + C00036 -> C00158 R01325+R01900,R01324  C00158 -> C00311 R01899+R00268,R00267,R00709  C00311 -> C00026 R00621+R03316,R01700  C00026 + C15972 -> C16254 R02570  C16254 -> C00091 + C15973 R07618  C15973 -> C15972 R01197  C00026 -> C00091 R00405,R00432,R00727,R10343  C00091 -> C00042 R02164  C00042 -> C00122 R01082  C00122 -> C00149 R00342,R00361  C00149 -> C00036"
M00010,"R00351  C00036 + C00024 -> C00158 R01325+R01900,R01324  C00158 -> C00311 R01899+R00268,R00267,R00709  C00311 -> C00026"
M00012,"R00351  C00024 + C00036 -> C00158 R01325  C00158 -> C00417 R01900  C00417 -> C00311 R00479  C00311 -> C00048 R00472,R00473+R10612  C00024 + C00048 -> C00149 R00342  C00149 -> C00036"
M00740,R00351  C00036 + C00024 -> C00158 R01325  C00158 -> C00417 R01900  C00417 -> C00311 R01899  C00311 -> C05379 R00268  C05379 -> C00026 R00248  C00026 -> C00025 R00262  C00025 -> C03618 R03696  C03618 -> C01732 R10904  C01732 -> C06028 R05076  C06028 -> C06027 R00934  C06027 -> C00048 R00473  C00048 + C00024 -> C04348 R10612  C04348 -> C00149 R00342  C00149 -> C00036
M00173,"R01196,R10866  C00024 -> C00022 R00199,R00206  C00022 -> C00074 R00345  C00074 -> C00036 R00344  C00022 -> C00036 R00342  C00036 -> C00149 R01082  C00149 -> C00122 R02164  C00122 -> C00042 R00405  C00042 -> C00091 R01197  C00091 -> C00026 R00267  C00026 -> C00311 R01900  C00311 -> C00417 R01325  C00417 -> C00158 R00352  C00158 -> C00024"
M00011,"R00621+R03316,R01700  C00026 + C15972 -> C16254 R02570  C16254 -> C00091 + C15973 R07618  C15973 -> C15972 R01197  C00026 -> C00091 R00405,R00432,R00727,R10343  C00091 -> C00042 R02164  C00042 -> C00122 R01082  C00122 -> C00149 R00342,R00361  C00149 -> C00036"
M00374,R01196  C00024 -> C00022 R00199  C00022 -> C00074 R00345  C00074 -> C00036 R00342  C00036 -> C00149 R01082  C00149 -> C00122 R02164  C00122 -> C00042 R00405  C00042 -> C00091 R09280  C00091 -> C00232 R09281  C00232 -> C00989 R09279  C00989 -> C11062 R10782  C11062 -> C00877 R03026  C00877 -> C01144 R01975  C01144 -> C00332 R00238  C00332 -> C00024
M00620,R01196  C00024 -> C00022 R00344  C00022 -> C00036 R00342  C00036 -> C00149 R01082  C00149 -> C00122 R10660  C00122 -> C00042 R00405  C00042 -> C00091 R01197  C00091 -> C00026
M00376,R00742  C00024 -> C00083 R00740  C00083 -> C00222 R09289  C00222 -> C01013 R09286  C01013 -> C05668 R03045  C05668 -> C00894 R00919  C00894 -> C00100 R01859  C00100 -> C00683 R02765  C00683 -> C01213 R00833  C01213 -> C00091 R00406  C00091 -> C00042 R02164  C00042 -> C00122 R01082  C00122 -> C00149 R00406  C00149 -> C04348 R00473  C04348 -> C00024 + C00048 R00934  C00100 -> C06027 R05076  C06027 -> C06028 R09283  C06028 -> C18323 R09282  C18323 -> C01011 R00237  C01011 -> C00024 + C00022
M00982,"R00931  C00036 + C00100 -> C02225 R04424  C02225 -> C04225 R11263  C02225 -> C21250 R11264  C21250 -> C04225 R04425  C04225 -> C04593 R00409  C04593 -> C00042 R02164  C00042 -> C00122 R01082  C00122 -> C00149 R00342,R00361  C00149 -> C00036"
M00168,R00345  C00074 + C00011 -> C00036 R00342  C00036 -> C00149
M00171,R00345  C00074 -> C00036 R00355  C00036 -> C00049 R00355  C00049 -> C00036 R00342  C00036 -> C00149 R00214  C00149 -> C00022+C00011 R00258  C00022 -> C00041 R00258  C00041 -> C00022 R00206  C00022 -> C00074
M00149,R02164  C00042 + C15602 -> C00122 + C15603
M00150,R02164  C00042 + C15602 -> C00122 + C15603
