model_id,kegg.module,module_name
MAR04097,Hum_M00357,"Methanogenesis, acetate => methane"
MAR04099,Hum_M00357,"Methanogenesis, acetate => methane"
MAR04379,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04379,Hum_M00345,"Formaldehyde assimilation, ribulose monophosphate pathway"
MAR04355,Hum_M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04358,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04358,Hum_M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04363,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04363,Hum_M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04363,Hum_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04363,Hum_M00346,"Formaldehyde assimilation, serine pathway"
MAR04365,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04365,Hum_M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04365,Hum_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04368,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04368,Hum_M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04368,Hum_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04368,Hum_M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04368,Hum_M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
MAR04368,Hum_M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
MAR04373,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04373,Hum_M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04373,Hum_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04373,Hum_M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04373,Hum_M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
MAR04373,Hum_M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
MAR04375,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04375,Hum_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04375,Hum_M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04375,Hum_M00344,"Formaldehyde assimilation, xylulose monophosphate pathway"
MAR04375,Hum_M00345,"Formaldehyde assimilation, ribulose monophosphate pathway"
MAR04377,Hum_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04377,Hum_M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04377,Hum_M00344,"Formaldehyde assimilation, xylulose monophosphate pathway"
MAR04391,Hum_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04391,Hum_M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04391,Hum_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04391,Hum_M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04396,Hum_M00855,"Glycogen degradation, glycogen => glucose-6P"
MAR06412,Hum_M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
MAR04122,Hum_M00014,Glucuronate pathway (uronate pathway)
MAR04122,Hum_M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
MAR04122,Hum_M00997,"UDP-Xyl/L-Ara biosynthesis, UDP-Glc => UDP-Xyl => UDP-L-Ala"
MAR04122,Hum_M00999,"UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA"
MAR03944,Hum_M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
MAR03944,Hum_M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc"
MAR03944,Hum_M00854,"Glycogen biosynthesis, glucose-1P => glycogen/starch"
MAR04128,Hum_M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
MAR04128,Hum_M01004,"UDP-Galf biosynthesis, UDP-Glc => UDP-Galf"
MAR04131,Hum_M00554,"UDP-Gal biosynthesis, Gal => UDP-Gal"
MAR04131,Hum_M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
MAR04132,Hum_M00554,"UDP-Gal biosynthesis, Gal => UDP-Gal"
